sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
Dacin Zulkarnain,individual,Partai Solidaritas Indonesia,political-party,2025-09-16,80006917,False,,80006917,1,80006917.0,,1.0,,1,1,431,431,80006917,1.0,False
Candrakanta Irawan,individual,Partai Kebangkitan Rakyat,political-party,2025-08-06,105240699,False,,105240699,1,105240699.0,,1.0,,1,1,382,382,105240699,1.0,False
"R. Jumadi Jailani, S.E.",individual,Caket Lailasari,individual,2024-10-28,902391368,True,self_funded,902391368,1,902391368.0,,1.0,,1,1,1,1,902391368,1.0,False
Mila Purnawati,individual,Partai Kebangkitan Rakyat,political-party,2024-04-29,145636677,False,,145636677,1,145636677.0,,1.0,,1,1,382,382,145636677,1.0,False
CV Hakim (Persero) Tbk,organization,Partai Keadilan Indonesia,political-party,2025-03-05,289788744,False,,16665217225,4,4166304306.25,4522689429.819682,1.0,105.33333333333333,4,4,422,422,10542431272,0.6326008914054224,False
PT Sihotang Pratiwi,organization,"Dt. Aditya Hariyah, S.IP",individual,2024-06-13,5452126320,False,,5452126320,1,5452126320.0,,1.0,,1,1,1,1,5452126320,1.0,False
"KH. Setya Suartini, M.M.",individual,Partai Kebangkitan Rakyat,political-party,2024-03-18,111868935,False,,111868935,1,111868935.0,,1.0,,1,1,382,382,111868935,1.0,False
Wisnu Namaga,individual,Partai Rakyat Sejahtera,political-party,2025-08-09,332940287,True,over_limit,332940287,1,332940287.0,,1.0,,1,1,404,404,332940287,1.0,True
CV Tampubolon Tbk,corporation,Partai Keadilan Indonesia,political-party,2025-07-28,169303406,False,,766795640,3,255598546.66666666,124754576.56877291,1.0,231.5,3,3,422,422,398638889,0.519876311503284,False
PD Mandasari,corporation,"R. Galih Anggraini, S.Gz",individual,2024-09-26,13974050963,True,self_funded,14416803168,2,7208401584.0,9568073110.042908,1.0,15.0,2,2,1,1,13974050963,0.9692891551725734,False
PT Laksita,corporation,"Puti Vanya Nasyidah, S.E.I",individual,2024-04-09,32434717081,True,over_limit,46892066166,2,23446033083.0,12711918817.857615,1.0,485.0,2,2,1,1,32434717081,0.6916888022417195,True
Perum Rahmawati Puspita,corporation,Kamila Kuswoyo,individual,2024-10-05,19085548568,True,self_funded,19085548568,1,19085548568.0,,1.0,,1,1,1,1,19085548568,1.0,False
UD Nasyiah,organization,Partai Amanat Rakyat,political-party,2025-10-29,429711883,False,,2022320577,3,674106859.0,746326076.250434,1.0,197.0,3,3,411,411,1511989986,0.7476509922294086,False
PT Manullang,corporation,"Ir. Gadang Suartini, S.Gz",individual,2024-06-16,16733676,True,smurfing,9899773121,5,1979954624.2,3576126549.020301,1.0,78.5,5,5,1,1,8325969439,0.8410262878993103,False
PD Prabowo Habibi (Persero) Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2025-11-05,1423408593,True,proxy,1423408593,1,1423408593.0,,1.0,,1,1,382,382,1423408593,1.0,True
PD Andriani (Persero) Tbk,organization,Gawati Saputra,individual,2024-12-04,45103696163,True,over_limit,45103696163,1,45103696163.0,,1.0,,1,1,1,1,45103696163,1.0,False
Sutan Caket Saragih,individual,Mustika Halimah,individual,2024-05-15,1746902951,False,,1746902951,1,1746902951.0,,1.0,,1,1,1,1,1746902951,1.0,False
Hesti Budiman,individual,"dr. Silvia Nainggolan, M.Farm",individual,2024-01-21,1536623608,False,,1536623608,1,1536623608.0,,1.0,,1,1,1,1,1536623608,1.0,False
R. Olivia Hidayat,individual,Partai Indonesia Maju,political-party,2025-02-16,160589255,False,,160589255,1,160589255.0,,1.0,,1,1,411,411,160589255,1.0,False
Perum Usamah (Persero) Tbk,organization,Partai Indonesia Maju,political-party,2025-12-18,1959774366,True,proxy,1959774366,1,1959774366.0,,1.0,,1,1,411,411,1959774366,1.0,False
Perum Nurdiyanti,corporation,Karma Ardianto,individual,2024-10-18,86150545,True,smurfing,19214123732,4,4803530933.0,5742683231.674472,1.0,154.66666666666666,4,4,1,1,11722191305,0.6100820140695449,False
UD Prasasta (Persero) Tbk,corporation,Heru Sihombing,individual,2024-05-05,20678681106,False,,20678681106,1,20678681106.0,,1.0,,1,1,1,1,20678681106,1.0,False
CV Saptono Hutagalung,corporation,Sutan Cahyono Zulaika,individual,2025-07-25,15624229263,False,,15624229263,1,15624229263.0,,1.0,,1,1,1,1,15624229263,1.0,False
Ajeng Winarno,individual,Drs. Oni Mansur,individual,2024-10-30,45469072,False,,45469072,1,45469072.0,,1.0,,1,1,1,1,45469072,1.0,False
Pemerintah Kabupaten Banyumas,organization,Gada Maheswara,individual,2024-02-07,30630097033,True,illegal_source,97721320847,11,8883756440.636364,10895030174.704767,1.0,66.5,9,9,2,2,30630097033,0.31344333833715604,False
Pemerintah Kota Surabaya,organization,Galak Purwanti,individual,2024-10-19,10648275220,True,illegal_source,134391584172,19,7073241272.210526,7486409255.628705,2.0,32.05555555555556,18,18,1,1,23726174592,0.17654509200244448,False
CV Namaga Suryatmi,organization,Zamira Pangestu,individual,2024-08-04,764398584,True,proxy,764398584,1,764398584.0,,1.0,,1,1,1,1,764398584,1.0,False
UD Andriani Samosir (Persero) Tbk,corporation,Nabila Prakasa,individual,2024-09-28,6408923182,False,,6408923182,1,6408923182.0,,1.0,,1,1,1,1,6408923182,1.0,False
Gina Jailani,individual,dr. Yono Purwanti,individual,2025-08-24,2144756230,True,self_funded,2144756230,1,2144756230.0,,1.0,,1,1,1,1,2144756230,1.0,False
Belinda Simanjuntak,individual,Karimah Sudiati,individual,2024-12-01,1663290728,False,,1663290728,1,1663290728.0,,1.0,,1,1,1,1,1663290728,1.0,False
Bakiadi Wahyuni,individual,Ulya Sihotang,individual,2025-06-22,673305561,False,,673305561,1,673305561.0,,1.0,,1,1,1,1,673305561,1.0,False
PD Rajasa,organization,Partai Nasional Demokrat,political-party,2025-05-18,471746515,True,proxy,471746515,1,471746515.0,,1.0,,1,1,434,434,471746515,1.0,False
"R. Oliva Utama, M.Pd",individual,Partai Keadilan Indonesia,political-party,2025-10-30,30168945,False,,30168945,1,30168945.0,,1.0,,1,1,422,422,30168945,1.0,False
Emong Sihombing,individual,Hafshah Mustofa,individual,2025-04-12,2465530278,True,self_funded,2465530278,1,2465530278.0,,1.0,,1,1,1,1,2465530278,1.0,False
Lasmono Wastuti,individual,Partai Nasional Demokrat,political-party,2024-06-10,45979338,False,,45979338,1,45979338.0,,1.0,,1,1,434,434,45979338,1.0,False
PD Oktaviani (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-02-19,360842194,False,,360842194,1,360842194.0,,1.0,,1,1,422,422,360842194,1.0,False
UD Ramadan,organization,Najam Utami,individual,2025-01-20,25740102,True,smurfing,23845351929,3,7948450643.0,7368787846.923799,1.0,37.5,3,3,1,1,14597188952,0.6121607680802286,False
Hamima Lailasari,individual,Pandu Hidayat,individual,2025-01-24,1150312067,False,,1213834920,2,606917460.0,768476022.939798,1.0,226.0,2,2,1,1,1150312067,0.9476676342446961,False
PD Zulkarnain Nainggolan (Persero) Tbk,organization,R.A. Dina Suryatmi,individual,2025-04-26,1257406385,True,proxy,1257406385,1,1257406385.0,,1.0,,1,1,1,1,1257406385,1.0,False
Perum Marbun Uwais (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2024-07-17,62979734,True,smurfing,62979734,1,62979734.0,,1.0,,1,1,411,411,62979734,1.0,False
"Fitria Halim, S.T.",individual,Partai Nasional Demokrat,political-party,2025-07-16,58932130,False,,58932130,1,58932130.0,,1.0,,1,1,434,434,58932130,1.0,False
CV Nashiruddin Kusumo (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-10-27,1566570147,True,proxy,1566570147,1,1566570147.0,,1.0,,1,1,382,382,1566570147,1.0,False
Silvia Uyainah,individual,Cut Carla Suryono,individual,2024-10-05,1839001707,True,self_funded,1839001707,1,1839001707.0,,1.0,,1,1,1,1,1839001707,1.0,False
PD Gunawan Sihombing,organization,Partai Harapan Bangsa,political-party,2024-05-21,643992390,True,proxy,643992390,1,643992390.0,,1.0,,1,1,436,436,643992390,1.0,False
PD Anggriawan,organization,"Sutan Jayeng Pertiwi, S.Kom",individual,2024-01-22,17584864817,False,,23769378939,5,4753875787.8,7364233868.739601,1.0,153.0,5,5,1,1,17584864817,0.7398117074126553,False
Zulaikha Wahyudin,individual,Kunthara Situmorang,individual,2025-05-01,1415827365,True,self_funded,1415827365,1,1415827365.0,,1.0,,1,1,2,2,1415827365,1.0,False
CV Suwarno Winarsih (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-04-14,64032728,True,smurfing,64032728,1,64032728.0,,1.0,,1,1,404,404,64032728,1.0,False
UD Haryanti,organization,Partai Amanat Rakyat,political-party,2024-05-07,1663146271,True,proxy,8343362953,3,2781120984.3333335,2229003274.495385,1.0,44.0,3,3,411,411,5347857081,0.6409714057899262,False
UD Prastuti (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-10-19,87934465,True,smurfing,87934465,1,87934465.0,,1.0,,1,1,422,422,87934465,1.0,False
Perum Simbolon (Persero) Tbk,corporation,Lanang Winarsih,individual,2024-08-25,2228554044,True,self_funded,9348338746,2,4674169373.0,3458622366.6193385,1.0,123.0,2,2,1,1,7119784702,0.7616096180774834,False
T. Edward Widodo,individual,Partai Harapan Bangsa,political-party,2024-01-02,150022863,False,,150022863,1,150022863.0,,1.0,,1,1,436,436,150022863,1.0,False
Adikara Napitupulu,individual,Panca Wasita,individual,2024-04-10,1725407089,False,,1725407089,1,1725407089.0,,1.0,,1,1,1,1,1725407089,1.0,False
PT Pertamina (Persero),corporation,"Tgk. Gara Yuliarti, S.E.I",individual,2024-07-02,18206040910,True,illegal_source,246343904444,25,9853756177.76,11413337551.314232,2.0,24.653846153846153,21,21,1,1,31150398733,0.12645086065070973,False
PD Padmasari (Persero) Tbk,corporation,Timbul Yolanda,individual,2024-03-10,21881011705,True,self_funded,21881011705,1,21881011705.0,,1.0,,1,1,1,1,21881011705,1.0,False
UD Mustofa Wastuti,corporation,"Gading Usada, S.T.",individual,2025-11-24,8553176696,False,,8553176696,1,8553176696.0,,1.0,,1,1,1,1,8553176696,1.0,False
BUMN Mina Permai,corporation,Partai Kebangkitan Rakyat,political-party,2024-07-06,62882727,True,illegal_source,163986504139,18,9110361341.055555,9676761529.307306,2.0,35.0,16,16,382,382,29934596541,0.18254304949160033,False
Ratna Hutasoit,individual,Muni Waluyo,individual,2025-08-24,226189423,False,,226189423,1,226189423.0,,1.0,,1,1,1,1,226189423,1.0,False
Perum Pranowo Purwanti,corporation,Salimah Kuswandari,individual,2025-02-12,95461340,True,smurfing,95461340,1,95461340.0,,1.0,,1,1,1,1,95461340,1.0,False
Laswi Suwarno,individual,Mulya Suryatmi,individual,2025-04-18,906114430,False,,906114430,1,906114430.0,,1.0,,1,1,1,1,906114430,1.0,False
Pemerintah Desa Sukamulya,organization,Vivi Laksita,individual,2024-05-29,7974726782,True,illegal_source,75108772118,13,5777597855.230769,8226485557.200155,1.0,52.583333333333336,10,10,1,1,19751787686,0.26297577671711714,False
Perum Uwais,corporation,Partai Persatuan,political-party,2025-03-14,543168492,True,proxy,1331310680,2,665655340.0,173222561.65393183,1.0,141.0,2,2,415,415,788142188,0.5920047062192876,False
Candra Riyanti,individual,Partai Rakyat Sejahtera,political-party,2025-09-01,133851154,False,,133851154,1,133851154.0,,1.0,,1,1,404,404,133851154,1.0,False
UD Gunawan Narpati,organization,Partai Solidaritas Indonesia,political-party,2025-01-12,532767844,False,,532767844,1,532767844.0,,1.0,,1,1,431,431,532767844,1.0,False
Gilda Permata,individual,Partai Persatuan,political-party,2025-05-11,166490023,False,,166490023,1,166490023.0,,1.0,,1,1,415,415,166490023,1.0,False
Putu Putra,individual,Upik Salahudin,individual,2025-03-05,1463276382,False,,1463276382,1,1463276382.0,,1.0,,1,1,1,1,1463276382,1.0,False
"Sutan Bakijan Januar, M.Farm",individual,Partai Nasional Demokrat,political-party,2025-09-04,51851500,False,,51851500,1,51851500.0,,1.0,,1,1,434,434,51851500,1.0,False
PD Kusumo Suryono,corporation,Partai Solidaritas Indonesia,political-party,2024-12-13,529773118,False,,529773118,1,529773118.0,,1.0,,1,1,431,431,529773118,1.0,False
Puji Fujiati,individual,Yosef Winarsih,individual,2024-12-21,1394756031,False,,1394756031,1,1394756031.0,,1.0,,1,1,2,2,1394756031,1.0,False
"Ir. Cindy Pudjiastuti, M.Farm",individual,"Drs. Nadine Sitorus, S.I.Kom",individual,2025-01-17,343509034,False,,343509034,1,343509034.0,,1.0,,1,1,1,1,343509034,1.0,False
Perum Simanjuntak Hakim,organization,Partai Harapan Bangsa,political-party,2024-03-27,1724810810,True,proxy,1724810810,1,1724810810.0,,1.0,,1,1,436,436,1724810810,1.0,False
"Makara Suryatmi, S.Farm",individual,Tira Prayoga,individual,2025-06-05,2038842942,False,,2038842942,1,2038842942.0,,1.0,,1,1,1,1,2038842942,1.0,False
CV Prabowo,corporation,Partai Kebangkitan Rakyat,political-party,2024-04-01,73908864,False,,4075249898,3,1358416632.6666667,2148023254.0937023,1.0,187.5,2,2,382,382,3838205209,0.9418330912378321,False
Indra Utama,individual,Partai Amanat Rakyat,political-party,2024-12-06,96862953,False,,96862953,1,96862953.0,,1.0,,1,1,411,411,96862953,1.0,False
Perum Astuti Fujiati,corporation,dr. Puji Prakasa,individual,2024-05-14,61191948,True,smurfing,61191948,1,61191948.0,,1.0,,1,1,1,1,61191948,1.0,False
Perkasa Permata,individual,Partai Solidaritas Indonesia,political-party,2024-06-18,81921787,False,,81921787,1,81921787.0,,1.0,,1,1,431,431,81921787,1.0,False
Dadap Marbun,individual,"Cici Haryanto, S.I.Kom",individual,2025-06-20,1549993625,True,self_funded,1549993625,1,1549993625.0,,1.0,,1,1,1,1,1549993625,1.0,False
Prabawa Pradipta,individual,Warsita Astuti,individual,2025-08-07,581709791,False,,581709791,1,581709791.0,,1.0,,1,1,1,1,581709791,1.0,False
"Mala Kusmawati, S.H.",individual,"Sutan Kenari Situmorang, S.Pt",individual,2024-09-05,359162149,False,,359162149,1,359162149.0,,1.0,,1,1,1,1,359162149,1.0,False
PT Saragih Sitompul (Persero) Tbk,corporation,"R. Raden Latupono, S.Gz",individual,2024-12-13,687785996,True,proxy,687785996,1,687785996.0,,1.0,,1,1,1,1,687785996,1.0,False
UD Sitorus,organization,Partai Rakyat Sejahtera,political-party,2024-12-11,108303256,False,,413360190,2,206680095.0,139125859.93719444,1.0,312.0,2,2,404,404,305056934,0.7379930176633603,False
CV Yuliarti,corporation,Puti Zaenab Setiawan,individual,2025-10-28,14393828,True,smurfing,14393828,1,14393828.0,,1.0,,1,1,1,1,14393828,1.0,False
BUMN Mina Permai,corporation,R. Shania Hartati,individual,2024-10-15,11772509120,True,illegal_source,163986504139,18,9110361341.055555,9676761529.307306,3.0,35.0,16,16,1,1,29934596541,0.18254304949160033,False
Ir. Dasa Yolanda,individual,"Siti Dongoran, S.I.Kom",individual,2024-10-26,2085849951,False,,2085849951,1,2085849951.0,,1.0,,1,1,1,1,2085849951,1.0,False
"Dina Firmansyah, S.I.Kom",individual,Partai Rakyat Sejahtera,political-party,2025-11-30,18965784,False,,18965784,1,18965784.0,,1.0,,1,1,404,404,18965784,1.0,False
Perum Lailasari Habibi Tbk,corporation,"Laila Wibowo, S.Ked",individual,2024-07-01,611297472,True,self_funded,611297472,1,611297472.0,,1.0,,1,1,1,1,611297472,1.0,False
Perum Mandala (Persero) Tbk,corporation,Harsana Najmudin,individual,2024-11-19,12183490443,False,,16559887731,2,8279943865.5,5520448511.255578,1.0,146.0,2,2,1,1,12183490443,0.7357230097757599,False
Perum Rahimah Handayani,organization,Partai Rakyat Sejahtera,political-party,2025-12-26,50394304,True,smurfing,50394304,1,50394304.0,,1.0,,1,1,404,404,50394304,1.0,False
PT Novitasari Rajasa (Persero) Tbk,corporation,Partai Solidaritas Indonesia,political-party,2025-11-13,1503948304,True,proxy,1503948304,1,1503948304.0,,1.0,,1,1,431,431,1503948304,1.0,True
"drg. Jefri Winarno, M.Pd",individual,Partai Demokrat,political-party,2025-06-09,173350642,False,,173350642,1,173350642.0,,1.0,,1,1,429,429,173350642,1.0,False
UD Saptono (Persero) Tbk,corporation,Partai Harapan Bangsa,political-party,2025-12-17,484589296,False,,484589296,1,484589296.0,,1.0,,1,1,436,436,484589296,1.0,False
Galiono Wibisono,individual,Sutan Kadir Hartati,individual,2025-08-29,1474806551,False,,1474806551,1,1474806551.0,,1.0,,1,1,1,1,1474806551,1.0,False
UD Simanjuntak,organization,Zelaya Manullang,individual,2025-10-04,602389862,True,proxy,699071307,2,349535653.5,357589850.9638143,1.0,316.0,2,2,1,1,602389862,0.8617001670188703,False
PD Sudiati (Persero) Tbk,organization,Partai Amanat Rakyat,political-party,2024-10-26,1353308678,True,over_limit,1782792807,2,891396403.5,653242603.224504,1.0,69.0,1,1,411,411,1782792807,1.0,False
UD Puspasari Tbk,corporation,Asmuni Pranowo,individual,2024-09-04,10916820587,True,self_funded,10916820587,1,10916820587.0,,1.0,,1,1,1,1,10916820587,1.0,False
Clara Hutapea,individual,Elma Suwarno,individual,2024-02-29,18168557,True,smurfing,18168557,1,18168557.0,,1.0,,1,1,1,1,18168557,1.0,False
Perum Haryanto Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-11-22,7956748,True,smurfing,49349566,2,24674783.0,23642871.833228085,1.0,367.0,2,2,382,382,41392818,0.8387676195571812,False
Mahfud Wastuti,individual,"Gilda Pratama, M.Farm",individual,2024-12-02,1394730548,False,,1394730548,1,1394730548.0,,1.0,,1,1,1,1,1394730548,1.0,False
PD Nainggolan Palastri,organization,Partai Indonesia Maju,political-party,2024-07-13,1168394813,True,proxy,1168394813,1,1168394813.0,,1.0,,1,1,411,411,1168394813,1.0,False
PD Waskita (Persero) Tbk,organization,Tgk. Wani Rajasa,individual,2024-03-23,201124174,True,proxy,11475340271,3,3825113423.6666665,3189601565.548251,1.0,291.5,3,3,1,1,6205953006,0.5408077546670599,False
PT Hidayanto Tbk,corporation,Prasetyo Farida,individual,2024-03-25,4788023607,True,self_funded,31878660531,3,10626220177.0,8006669297.563391,1.0,223.5,3,3,1,1,19753647452,0.6196511121535616,False
"Kayun Simanjuntak, S.Psi",individual,Partai Demokrat,political-party,2025-02-14,32301454,False,,32301454,1,32301454.0,,1.0,,1,1,429,429,32301454,1.0,False
Puti Mutia Agustina,individual,Partai Persatuan,political-party,2025-11-19,270716128,True,over_limit,270716128,1,270716128.0,,1.0,,1,1,415,415,270716128,1.0,True
Bagas Santoso,individual,"Sutan Gambira Samosir, S.I.Kom",individual,2024-10-28,1796699109,False,,1796699109,1,1796699109.0,,1.0,,1,1,1,1,1796699109,1.0,False
Johan Palastri,individual,Partai Nasional Demokrat,political-party,2025-11-12,120526641,False,,120526641,1,120526641.0,,1.0,,1,1,434,434,120526641,1.0,False
dr. Wasis Setiawan,individual,Najwa Widiastuti,individual,2025-12-20,1250487121,True,self_funded,1250487121,1,1250487121.0,,1.0,,1,1,1,1,1250487121,1.0,False
Melinda Anggraini,individual,"T. Cakrabirawa Mayasari, S.IP",individual,2024-04-25,1150934577,False,,1150934577,1,1150934577.0,,1.0,,1,1,1,1,1150934577,1.0,False
UD Oktaviani (Persero) Tbk,corporation,"Mulyono Puspasari, S.Psi",individual,2024-03-16,18517878555,True,self_funded,20451650612,2,10225825306.0,11726734164.655687,1.0,365.0,2,2,1,1,18517878555,0.9054466510460842,False
PT Prasetyo Agustina Tbk,corporation,Partai Amanat Rakyat,political-party,2025-06-21,289237524,False,,289237524,1,289237524.0,,1.0,,1,1,411,411,289237524,1.0,False
Luthfi Rajata,individual,Drs. Himawan Mahendra,individual,2025-12-11,1454376456,True,self_funded,1454376456,1,1454376456.0,,1.0,,1,1,1,1,1454376456,1.0,False
Perum Farida (Persero) Tbk,corporation,Wahyu Oktaviani,individual,2025-08-03,1614395583,True,proxy,5476576557,2,2738288278.5,1589424292.628155,1.0,97.0,2,2,1,1,3862180974,0.7052181109498914,False
PD Jailani Fujiati,corporation,Balamantri Utama,individual,2025-02-04,12472360463,True,self_funded,12472360463,1,12472360463.0,,1.0,,1,1,1,1,12472360463,1.0,False
"Dr. Luhung Hutasoit, M.Farm",individual,Partai Indonesia Maju,political-party,2025-06-04,9426482,False,,9426482,1,9426482.0,,1.0,,1,1,411,411,9426482,1.0,False
"Yani Suryatmi, S.Ked",individual,Partai Rakyat Sejahtera,political-party,2024-09-21,139894894,False,,139894894,1,139894894.0,,1.0,,1,1,404,404,139894894,1.0,False
PT Manullang Suryono Tbk,corporation,Dartono Usamah,individual,2025-08-22,401326182,True,proxy,401326182,1,401326182.0,,1.0,,1,1,1,1,401326182,1.0,False
PT Hastuti (Persero) Tbk,organization,Harsanto Wijayanti,individual,2024-07-29,2480325,True,smurfing,94392342,2,47196171.0,63237755.866186716,1.0,337.0,2,2,1,1,91912017,0.9737232391161562,False
